,stem,img_file,label_file,is_test,class
0,AKK_ASTA_43,/aisscv/preprocessing/data/AKK_ASTA_43.jpg,/aisscv/preprocessing/data/AKK_ASTA_43.txt,True,AKK_ASTA
1,AKK_ASTA_59,/aisscv/preprocessing/data/AKK_ASTA_59.jpg,/aisscv/preprocessing/data/AKK_ASTA_59.txt,True,AKK_ASTA
2,AKK_ASTA_60,/aisscv/preprocessing/data/AKK_ASTA_60.jpg,/aisscv/preprocessing/data/AKK_ASTA_60.txt,True,AKK_ASTA
3,AKK_ASTA_56,/aisscv/preprocessing/data/AKK_ASTA_56.jpg,/aisscv/preprocessing/data/AKK_ASTA_56.txt,True,AKK_ASTA
4,AKK_ASTA_34,/aisscv/preprocessing/data/AKK_ASTA_34.jpg,/aisscv/preprocessing/data/AKK_ASTA_34.txt,True,AKK_ASTA
5,AKK_ASTA_32,/aisscv/preprocessing/data/AKK_ASTA_32.jpg,/aisscv/preprocessing/data/AKK_ASTA_32.txt,True,AKK_ASTA
6,AKK_ASTA_26,/aisscv/preprocessing/data/AKK_ASTA_26.jpg,/aisscv/preprocessing/data/AKK_ASTA_26.txt,True,AKK_ASTA
7,AKK_ASTA_36,/aisscv/preprocessing/data/AKK_ASTA_36.jpg,/aisscv/preprocessing/data/AKK_ASTA_36.txt,True,AKK_ASTA
8,AKK_ASTA_33,/aisscv/preprocessing/data/AKK_ASTA_33.jpg,/aisscv/preprocessing/data/AKK_ASTA_33.txt,True,AKK_ASTA
9,AKK_ASTA_58,/aisscv/preprocessing/data/AKK_ASTA_58.jpg,/aisscv/preprocessing/data/AKK_ASTA_58.txt,True,AKK_ASTA
10,AKK_ASTA_35,/aisscv/preprocessing/data/AKK_ASTA_35.jpg,/aisscv/preprocessing/data/AKK_ASTA_35.txt,True,AKK_ASTA
11,AKK_ASTA_49,/aisscv/preprocessing/data/AKK_ASTA_49.jpg,/aisscv/preprocessing/data/AKK_ASTA_49.txt,True,AKK_ASTA
12,AKK_ASTA_19,/aisscv/preprocessing/data/AKK_ASTA_19.jpg,/aisscv/preprocessing/data/AKK_ASTA_19.txt,True,AKK_ASTA
13,AKK_ASTA_53,/aisscv/preprocessing/data/AKK_ASTA_53.jpg,/aisscv/preprocessing/data/AKK_ASTA_53.txt,True,AKK_ASTA
14,AKK_ASTA_70,/aisscv/preprocessing/data/AKK_ASTA_70.jpg,/aisscv/preprocessing/data/AKK_ASTA_70.txt,True,AKK_ASTA
15,Alte_Bib_86,/aisscv/preprocessing/data/Alte_Bib_86.jpg,/aisscv/preprocessing/data/Alte_Bib_86.txt,True,Alte_Bib
16,Alte_Bib_27,/aisscv/preprocessing/data/Alte_Bib_27.jpg,/aisscv/preprocessing/data/Alte_Bib_27.txt,True,Alte_Bib
17,Alte_Bib_7,/aisscv/preprocessing/data/Alte_Bib_7.jpg,/aisscv/preprocessing/data/Alte_Bib_7.txt,True,Alte_Bib
18,Alte_Bib_74,/aisscv/preprocessing/data/Alte_Bib_74.jpg,/aisscv/preprocessing/data/Alte_Bib_74.txt,True,Alte_Bib
19,Alte_Bib_62,/aisscv/preprocessing/data/Alte_Bib_62.jpg,/aisscv/preprocessing/data/Alte_Bib_62.txt,True,Alte_Bib
